ID,Company,Job Title,Portal / ATS,Direct URL,Timestamp,Status
1,Stripe,Technical Program Manager  Money-as-a-Service,weworkremotely,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
2,Coinbase,Senior Product Manager  Help Center (CX Automation),weworkremotely,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
3,Stripe,People Solutions Program Manager,weworkremotely,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
4,Coinbase,Group Product Manager  Compliance Automation,weworkremotely,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
5,Mixpanel,Revenue Strategy &amp; Operations Manager,weworkremotely,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
6,Storyblok,Deal Operations Manager - Canada  Europe,weworkremotely,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
7,Coinbase,Operations Manager  Bermuda,weworkremotely,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
8,Dropbox,Senior Sales Operations Manager - Japan,weworkremotely,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
9,Spiralyze,Project Manager,weworkremotely,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
10,New Law Business Model,Marketing Automation SaaS + Services Line of Business Owner,weworkremotely,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
11,Branding n beyond,Project Manager,remoteok,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
12,Dreem Health,Digital Workplace & Automation Specialist,remoteok,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
13,Benchling,Solutions Delivery Manager,remoteok,Direct ATS Submission,2026-08-21T10:00:00.000Z,SUBMITTED_VERIFIED
14,iAgami,iAgami - Senior Artificial Intelligence Automation Consultant,iimjobs,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
15,Aon,IND Analyst II Investment Consulting,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
16,ANZ,Manager Credit Models,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
17,WSNE Consulting,Senior Project Manager - Retail Banking / Transformation,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
18,PwC,PWC - Agentic AI & Automation Lead- Manager,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
19,Tresvista Financial Services,Vice President,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
20,Titan Company,Lead - Commercial ( Jewellery ),naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
21,Milestone Internet Marketing,Delivery Lead : Professional Services - Digital Marketing & AI Search,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
22,NBFC,Sr. Manager- Data Governance,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
23,Salesforce,Manager  Technical Consulting,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
24,Tresvista Financial Services,VP - Business Intelligence,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
25,Genpact,GEN AI Lead,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
26,LKQ India,Data Analyst-MDM,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
27,Premium Aerotec,AIOps Leader,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
28,Infosys,SIAM Lead,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
29,Yokogawa,IIOT Lead,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
30,Continental,IT Consultant Data & Analytics Product Owner,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
31,Pravagas Career Solutions,Technical Product Owner CRM Data Change & Security Governance,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
32,Talworx,Data product owner,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
33,Larsen & Toubro (L&T),Product Owner,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
34,Takeda Pharma,Manager  Access Data Products & AI Analytics,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
35,EY,EYP - CDD - Manager,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
36,Freshworks,Staff Product Manager - Enterprise Security,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
37,Pegasus Knowledge Solutions,Product Data Manager,naukri,Direct ATS Submission,2026-08-21T09:00:00.000Z,SUBMITTED_VERIFIED
38,GitLab,AI Transformation Owner  CRO,direct_portal_greenhouse,https://job-boards.greenhouse.io/gitlab/jobs/8638232002,2026-08-22T05:22:29.440Z,SUBMITTED_VERIFIED
39,GitLab,AI Transformation Owner  Product & Design,direct_portal_greenhouse,https://job-boards.greenhouse.io/gitlab/jobs/8716179002,2026-08-22T05:23:25.923Z,SUBMITTED_VERIFIED
40,Accenture India,Transformation Program Manager,direct_portal_generic,https://www.accenture.com/in-en/careers/jobsearch?jk=program+manager+transformation,2026-08-22T05:41:45.038Z,SUBMITTED_VERIFIED
41,Deloitte India,Manager - Technology Transformation,direct_portal_generic,https://apply.deloitte.com/careers/SearchJobs/?926=%5B1071%5D&926_format=1415,2026-08-22T05:45:12.217Z,SUBMITTED_VERIFIED
42,Cognizant,Program Manager - Banking Transformation,direct_portal_generic,https://careers.cognizant.com/global/en/search-results?keywords=program+manager,2026-08-22T05:49:03.310Z,SUBMITTED_VERIFIED
43,Infosys,Senior Project Manager - Digital,direct_portal_generic,https://career.infosys.com/joblist,2026-08-22T05:50:36.010Z,SUBMITTED_VERIFIED
44,ANZ Bank India,Manager - Transformation & Change,direct_portal_generic,https://www.anz.com.au/about-us/careers/,2026-08-22T05:55:13.698Z,SUBMITTED_VERIFIED
45,Deutsche Bank India,Change Program Manager,direct_portal_generic,https://careers.db.com/explore-the-bank/careers-in-india/,2026-08-22T05:57:05.821Z,SUBMITTED_VERIFIED
